Station,metro,coor
Пражская,"Москва, станция метро Пражская","(55.6082096, 37.6077311)"
Аэропорт,"Москва, станция метро Аэропорт","(55.8011013, 37.5307563)"
Проспект Мира,"Москва, станция метро Проспект Мира","(55.7804065, 37.6343838)"
Марьина роща,"Москва, станция метро Марьина роща","(55.7933573, 37.6182111)"
Нахимовский проспект,"Москва, станция метро Нахимовский проспект","(55.6584348, 37.6084034)"
Алма-Атинская,"Москва, станция метро Алма-Атинская","(55.626898, 37.7660504)"
Цветной бульвар,"Москва, станция метро Цветной бульвар","(55.7700651, 37.6230252)"
Окружная,"Москва, станция метро Окружная","(55.8419823, 37.5757983)"
Добрынинская,"Москва, станция метро Добрынинская","(55.729338, 37.623158)"
Технопарк,"Москва, станция метро Технопарк","(55.6904722, 37.6642017)"
Серпуховская,"Москва, станция метро Серпуховская","(55.7243451, 37.6267227)"
Каширская,"Москва, станция метро Каширская","(55.6558054, 37.6477703)"
Жулебино,"Москва, станция метро Жулебино","(55.6854664, 37.8610084)"
Селигерская,"Москва, станция метро Селигерская","(55.860837599999996, 37.5462185)"
Юго-Восточная,"Москва, станция метро Юго-Восточная","(55.703988, 37.8243697)"
Солнцево,"Москва, станция метро Солнцево","(55.643751, 37.3912605)"
Пятницкое шоссе,"Москва, станция метро Пятницкое шоссе","(55.8548306, 37.3556303)"
Улица Скобелевская,"Москва, станция метро Улица Скобелевская","(55.5427999, 37.557479)"
Дорогомиловская,"Москва, станция метро Дорогомиловская","(55.745442, 37.565043)"
Верхние Лихоборы,"Москва, станция метро Верхние Лихоборы","(55.8546638, 37.5613445)"
Строгино,"Москва, станция метро Строгино","(55.8015203, 37.4077678)"
Отрадное,"Москва, станция метро Отрадное","(55.8590022, 37.6078992)"
Кузьминки,"Москва, станция метро Кузьминки","(55.7041548, 37.7657143)"
Окская,"Москва, станция метро Окская","(55.7186718, 37.7820168)"
Митино,"Москва, станция метро Митино","(55.8418155, 37.3603361)"
Академическая,"Москва, станция метро Академическая","(55.6868013, 37.5754622)"
Пролетарская,"Москва, станция метро Пролетарская","(55.7312027, 37.6629956)"
Тургеневская,"Москва, станция метро Тургеневская","(55.760554, 37.6411765)"
Беляево,"Москва, станция метро Беляево","(55.6397464, 37.5265546)"
ЗИЛ,"Москва, станция метро ЗИЛ","(55.698481, 37.649671)"
Зорге,"Москва, станция метро Зорге","(55.789438, 37.503685)"
Полежаевская,"Москва, станция метро Полежаевская","(55.7776971, 37.5215442)"
Войковская,"Москва, станция метро Войковская","(55.8182618, 37.5002267)"
Саларьево,"Москва, станция метро Саларьево","(55.6205573, 37.4247059)"
Братиславская,"Москва, станция метро Братиславская","(55.6565994, 37.7566387)"
Южная,"Москва, станция метро Южная","(55.620891, 37.6104202)"
Славянский бульвар,"Москва, станция метро Славянский бульвар","(55.728341, 37.474527)"
Свиблово,"Москва, станция метро Свиблово","(55.8558836, 37.6537647)"
Университет,"Москва, станция метро Университет","(55.6940945, 37.5355731)"
Улица Старокачаловская,"Москва, станция метро Улица Старокачаловская","(55.5686634, 37.577479)"
Электрозаводская,"Москва, станция метро Электрозаводская","(55.7821919, 37.7056997)"
Ясенево,"Москва, станция метро Ясенево","(55.6045386, 37.5378151)"
Румянцево,"Москва, станция метро Румянцево","(55.6272318, 37.4421849)"
Тропарёво,"Москва, станция метро Тропарёво","(55.6415818, 37.4741176)"
Орехово,"Москва, станция метро Орехово","(55.6087102, 37.6961345)"
Перово,"Москва, станция метро Перово","(55.7515435, 37.7919328)"
Измайлово,"Москва, станция метро Измайлово","(55.788722, 37.743058)"
Дубровка,"Москва, станция метро Дубровка","(55.7178206, 37.6765102)"
Семёновская,"Москва, станция метро Семёновская","(55.7822847, 37.7237892)"
Стахановская,"Москва, станция метро Стахановская","(55.7238445, 37.7576471)"
Петровско-Разумовская,"Москва, станция метро Петровско-Разумовская","(55.8372119, 37.5757097)"
Тёплый стан,"Москва, станция метро Тёплый стан","(55.6188887, 37.5092437)"
Коптево,"Москва, станция метро Коптево","(55.840452, 37.521417)"
Кантемировская,"Москва, станция метро Кантемировская","(55.6358078, 37.6560783)"
Молодёжная,"Москва, станция метро Молодёжная","(55.7386951, 37.4201681)"
Владыкино,"Москва, станция метро Владыкино","(55.8480419, 37.5897208)"
Крестьянская застава,"Москва, станция метро Крестьянская застава","(55.7273486, 37.672605)"
Хорошёвская,"Москва, станция метро Хорошёвская","(55.7735692, 37.522521)"
Зябликово,"Москва, станция метро Зябликово","(55.6082096, 37.7467227)"
Красносельская,"Москва, станция метро Красносельская","(55.7790764, 37.6668325)"
Чистые пруды,"Москва, станция метро Чистые пруды","(55.7647568, 37.6366337)"
Лианозово,"Москва, станция метро Лианозово","(55.896670, 37.552116)"
Сретенский бульвар,"Москва, станция метро Сретенский бульвар","(55.7675622, 37.6421849)"
Проспект Вернадского,"Москва, станция метро Проспект Вернадского","(55.6737861, 37.5078992)"
Боровицкая,"Москва, станция метро Боровицкая","(55.7515435, 37.6094118)"
Бибирево,"Москва, станция метро Бибирево","(55.8847428, 37.6052554)"
Речной вокзал,"Москва, станция метро Речной вокзал","(55.8546674, 37.4762901)"
Люблино,"Москва, станция метро Люблино","(55.6729518, 37.7633613)"
Бутырская,"Москва, станция метро Бутырская","(55.8089438, 37.6067227)"
Октябрьское поле,"Москва, станция метро Октябрьское поле","(55.7904222, 37.4936134)"
Новокузнецкая,"Москва, станция метро Новокузнецкая","(55.7420542, 37.6298127)"
